date,study_id,run_id,model,kind,status,dataset_id,split,metric_name,metric_value,decision
2026-07-10,qwen25_post_training_legacy_v1,qwen25_baseline_sft_val_eval,Qwen2.5-7B-Instruct,eval_generation,completed,legacy_unversioned,unknown_not_recorded,mean_score,0.640700000,historical
2026-07-10,qwen25_post_training_legacy_v1,qwen25_grpo_v4_chatml_format_smoke_sft_val_firstjson_eval,outputs/merged-qwen25-7b-sft-v3-chatml,eval_generation,completed,legacy_unversioned,unknown_not_recorded,mean_score,0.857800000,historical
2026-07-10,qwen25_post_training_legacy_v1,qwen25_sft_v1_sft_val_eval,Qwen2.5-7B-Instruct,eval_generation,completed,legacy_unversioned,unknown_not_recorded,mean_score,0.617300000,historical
2026-07-10,qwen25_post_training_legacy_v1,qwen25_sft_v1_val8_smoke,Qwen2.5-7B-Instruct,eval_generation_smoke,completed,legacy_unversioned,unknown_not_recorded,mean_score,0.315500000,historical
2026-07-10,qwen25_post_training_legacy_v1,qwen25_sft_v2_sft_val_eval,Qwen2.5-7B-Instruct,eval_generation,completed,legacy_unversioned,unknown_not_recorded,mean_score,0.693100000,historical
2026-07-10,qwen25_post_training_legacy_v1,qwen25_sft_v3_chatml_sft_val_firstjson_eval,Qwen2.5-7B-Instruct,eval_generation,completed,legacy_unversioned,unknown_not_recorded,mean_score,0.856400000,historical
2026-07-10,qwen25_post_training_legacy_v1,qwen25_trl_grpo_lora_v1,Qwen2.5-7B-Instruct,train_grpo_lora,completed,legacy_unversioned,unknown_not_recorded,adapter_smoke_mean_score,0.547600000,historical
2026-07-10,qwen25_post_training_legacy_v1,qwen25_trl_grpo_lora_v4_chatml_format_smoke,outputs/merged-qwen25-7b-sft-v3-chatml,train_grpo_lora_smoke,completed,legacy_unversioned,unknown_not_recorded,train_loss,0.008900000,historical
2026-07-10,qwen25_post_training_legacy_v1,qwen25_trl_sft_lora_warmup_v1,Qwen2.5-7B-Instruct,train_sft_lora,completed,legacy_unversioned,unknown_not_recorded,train_loss,1.447400000,historical
2026-07-10,qwen25_post_training_legacy_v1,qwen25_trl_sft_lora_warmup_v2,Qwen2.5-7B-Instruct,train_sft_lora,completed,legacy_unversioned,unknown_not_recorded,train_loss,1.350900000,historical
2026-07-10,qwen25_post_training_legacy_v1,qwen25_trl_sft_lora_warmup_v3_chatml,Qwen2.5-7B-Instruct,train_sft_lora,completed,legacy_unversioned,unknown_not_recorded,train_loss,2.076500000,historical
2026-07-11,qwen25_post_training_legacy_v1,qwen25_grpo_v4_chatml_format_formal_v1_sft_val_firstjson_eval,outputs/merged-qwen25-7b-sft-v3-chatml,eval_generation,completed,legacy_unversioned,unknown_not_recorded,mean_score,0.859700000,historical
2026-07-11,qwen25_post_training_legacy_v1,qwen25_trl_grpo_lora_v4_chatml_format_formal_v1,outputs/merged-qwen25-7b-sft-v3-chatml,train_grpo_lora,completed,legacy_unversioned,unknown_not_recorded,train_loss,-0.009500000,historical
2026-07-12,planner_complex_retrieval_grpo_v2,20260712_complex_v2_grpo80_seed42_dev,complex_v2_grpo80_seed42,eval_generation_repeated,completed,planner_stateful_retrieval_v2,dev,case_macro_mean_verifier_score,0.865126488,reject_development_gate
2026-07-12,planner_complex_retrieval_grpo_v2,20260712_complex_v2_grpo80_seed42_test,complex_v2_grpo80_seed42,eval_generation_repeated,completed,planner_stateful_retrieval_v2,test,step_mean_verifier_score,0.766187500,supports_sealed_test_confirmation
2026-07-12,planner_complex_retrieval_grpo_v2,20260712_complex_v2_grpo80_seed42_train,/raid/zkq/artifacts/CAPA/outputs/merged-qwen25-7b-sft-v3-chatml,train_grpo_lora_checkpoint,completed,planner_stateful_retrieval_v2,train,train_reward_mean,0.804180464,reject_development_gate
2026-07-12,planner_complex_retrieval_grpo_v2,20260712_complex_v2_grpo80_seed43_dev,complex_v2_grpo80_seed43,eval_generation_repeated,completed,planner_stateful_retrieval_v2,dev,step_mean_verifier_score,0.822604167,passes_multiseed_development_replication_gate
2026-07-12,planner_complex_retrieval_grpo_v2,20260712_complex_v2_grpo80_seed43_test,complex_v2_grpo80_seed43,eval_generation_repeated,completed,planner_stateful_retrieval_v2,test,step_mean_verifier_score,0.771593750,supports_sealed_test_confirmation
2026-07-12,planner_complex_retrieval_grpo_v2,20260712_complex_v2_grpo80_seed43_train,/raid/zkq/artifacts/CAPA/outputs/merged-qwen25-7b-sft-v3-chatml,train_grpo_lora_checkpoint,completed,planner_stateful_retrieval_v2,train,train_reward_mean,0.791191182,supports_adaptive_replication_confirmation
2026-07-12,planner_complex_retrieval_grpo_v2,20260712_complex_v2_grpo80_seed44_dev,complex_v2_grpo80_seed44,eval_generation_repeated,completed,planner_stateful_retrieval_v2,dev,step_mean_verifier_score,0.860416667,passes_multiseed_development_replication_gate
2026-07-12,planner_complex_retrieval_grpo_v2,20260712_complex_v2_grpo80_seed44_test,complex_v2_grpo80_seed44,eval_generation_repeated,completed,planner_stateful_retrieval_v2,test,step_mean_verifier_score,0.791114583,supports_sealed_test_confirmation
2026-07-12,planner_complex_retrieval_grpo_v2,20260712_complex_v2_grpo80_seed44_train,/raid/zkq/artifacts/CAPA/outputs/merged-qwen25-7b-sft-v3-chatml,train_grpo_lora_checkpoint,completed,planner_stateful_retrieval_v2,train,train_reward_mean,0.824033223,supports_adaptive_replication_confirmation
2026-07-12,planner_complex_retrieval_grpo_v2,20260712_complex_v2_sftv3_dev,sft_v3,eval_generation_repeated,completed,planner_stateful_retrieval_v2,dev,step_mean_verifier_score,0.803520833,pending_comparison
2026-07-12,planner_complex_retrieval_grpo_v2,20260712_complex_v2_sftv3_test,complex_v2_sftv3,eval_generation_repeated,completed,planner_stateful_retrieval_v2,test,step_mean_verifier_score,0.731364583,sealed_test_reference
2026-07-12,planner_stateful_retrieval_grpo_v1,20260712_coref_contrast_v1_grpo40_seed42_dev,coref_contrast_grpo40_seed42,eval_generation_repeated,completed,planner_stateful_retrieval_v1,dev,case_macro_mean_verifier_score,0.817147436,inconclusive
2026-07-12,planner_stateful_retrieval_grpo_v1,20260712_coref_contrast_v1_grpo40_seed42_train,/raid/zkq/artifacts/CAPA/outputs/merged-qwen25-7b-sft-v3-chatml,train_grpo_lora_checkpoint,completed,planner_coref_contrast_v1,train,train_reward_mean,0.663939601,pending_comparison
2026-07-12,planner_complex_retrieval_grpo_v2,20260712_first_miss_transition_v1_grpo80_seed42_dev,first_miss_transition_grpo80_seed42,eval_generation_repeated,completed,planner_stateful_retrieval_v2,dev,case_macro_mean_verifier_score,0.873809524,reject_development_gate
2026-07-12,planner_complex_retrieval_grpo_v2,20260712_first_miss_transition_v1_grpo80_seed42_train,/raid/zkq/artifacts/CAPA/outputs/merged-qwen25-7b-sft-v3-chatml,train_grpo_lora_checkpoint,completed,planner_first_miss_transition_v1,train,train_reward_mean,0.767081136,reject_development_gate
2026-07-12,planner_chatml_training_effect_v1,20260712_qwen25_base_chatml_dev3x,base_chatml,eval_generation_repeated,completed,planner_focused_v3,dev,case_macro_mean_verifier_score,0.854343450,promote_development
2026-07-12,planner_chatml_training_effect_v1,20260712_qwen25_base_pseudo_dev3x,base_pseudo,eval_generation_repeated,completed,planner_focused_v3,dev,case_macro_mean_verifier_score,0.847199269,baseline
2026-07-12,planner_chatml_training_effect_v1,20260712_qwen25_grpov4_chatml_dev3x,grpo_v4_chatml,eval_generation_repeated,completed,planner_focused_v3,dev,case_macro_mean_verifier_score,0.854456009,inconclusive
2026-07-12,planner_chatml_training_effect_v1,20260712_qwen25_sftv3_chatml_dev3x,sft_v3_chatml,eval_generation_repeated,completed,planner_focused_v3,dev,case_macro_mean_verifier_score,0.855846443,inconclusive
2026-07-12,planner_stateful_retrieval_grpo_v1,20260712_rag_miss_action_reward_v1_grpo40_seed42_dev,rag_miss_action_reward_grpo40_seed42,eval_generation_repeated,completed,planner_stateful_retrieval_v1,dev,case_macro_mean_verifier_score,0.825480769,inconclusive
2026-07-12,planner_stateful_retrieval_grpo_v1,20260712_rag_miss_action_reward_v1_grpo40_seed42_train,/raid/zkq/artifacts/CAPA/outputs/merged-qwen25-7b-sft-v3-chatml,train_grpo_lora_checkpoint,completed,planner_rag_miss_action_reward_v1,train,train_reward_mean,0.840488691,reject_development_gate
2026-07-12,planner_stateful_retrieval_grpo_v1,20260712_rag_miss_state_machine_v1_grpo40_seed42_dev,rag_miss_state_machine_grpo40_seed42,eval_generation_repeated,completed,planner_stateful_retrieval_v1,dev,case_macro_mean_verifier_score,0.822219900,inconclusive
2026-07-12,planner_stateful_retrieval_grpo_v1,20260712_rag_miss_state_machine_v1_grpo40_seed42_train,/raid/zkq/artifacts/CAPA/outputs/merged-qwen25-7b-sft-v3-chatml,train_grpo_lora_checkpoint,completed,planner_rag_miss_state_machine_v1,train,train_reward_mean,0.868369368,pending_comparison
2026-07-12,planner_stateful_retrieval_grpo_v1,20260712_stateful_v1_base_dev,base_chatml,eval_generation_repeated,completed,planner_stateful_retrieval_v1,dev,step_mean_verifier_score,0.791236413,pending_comparison
2026-07-12,planner_stateful_retrieval_grpo_v1,20260712_stateful_v1_grpo80_seed42_dev,grpo80_seed42,eval_generation_repeated,completed,planner_stateful_retrieval_v1,dev,case_macro_mean_verifier_score,0.828017001,inconclusive
2026-07-12,planner_stateful_retrieval_grpo_v1,20260712_stateful_v1_grpo80_seed42_train,/raid/zkq/artifacts/CAPA/outputs/merged-qwen25-7b-sft-v3-chatml,train_grpo_lora_checkpoint,completed,planner_stateful_retrieval_v1,train,train_reward_mean,0.836306537,pending_comparison
2026-07-12,planner_stateful_retrieval_grpo_v1,20260712_stateful_v1_grpo_smoke2_dev,grpo_smoke2,eval_generation_repeated,completed,planner_stateful_retrieval_v1,dev,step_mean_verifier_score,0.758696959,pending_comparison
2026-07-12,planner_stateful_retrieval_grpo_v1,20260712_stateful_v1_grpo_smoke2_train,/raid/zkq/artifacts/CAPA/outputs/merged-qwen25-7b-sft-v3-chatml,train_grpo_lora,completed,planner_stateful_retrieval_v1,train,train_reward_mean,0.888206527,pending_comparison
2026-07-12,planner_stateful_retrieval_grpo_v1,20260712_stateful_v1_sftv3_dev,sft_v3_chatml,eval_generation_repeated,completed,planner_stateful_retrieval_v1,dev,step_mean_verifier_score,0.758696959,pending_comparison
2026-07-12,qwen25_post_training_legacy_v1,qwen25_grpo_v4_formal_v1_error_audit,unknown,eval_error_audit,completed,legacy_unversioned,unknown_not_recorded,candidate_mean,0.859700000,historical
